,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
28899,Village Creek Water Reclamation Facility,USA0054520,12.4,Biomass,Ft Worth City of,U.S. Energy Information Administration,62.129011819788126,-97.1421,32.7751
28900,Villisca Municipal Power Plant,USA0001193,4.0,Oil,City of Villisca - (IA),U.S. Energy Information Administration,70.2913813892527,-94.9855,40.9315
28901,Vinam,USA0058450,1.5,Solar,CD US Solar MT 2 LLC,U.S. Energy Information Administration,82.9938988818605,-118.0614,34.6689
28902,Vineland Headquarters,USA0057742,1.1,Solar,NFI Solar LLC,U.S. Energy Information Administration,28.95328687760877,-75.0374,39.4903
28903,Vineland Mays Landing Solar,USA0057660,4.3,Solar,NJR Clean Energy Ventures Corporation,U.S. Energy Information Administration,23.81577194886479,-74.9739,39.4175
28904,Vintner Solar,USA0058509,1.5,Solar,Ecos Energy LLC,U.S. Energy Information Administration,1.99570667379595,-120.6829,35.5579
28905,Vinton,USA0001194,17.5,Oil,City of Vinton - (IA),U.S. Energy Information Administration,1.1232193255102214,-92.0222,42.1697
28906,Viola,USA0004139,1.8,Oil,Village of Viola - (WI),U.S. Energy Information Administration,33.48412057065689,-90.669,43.507
28907,Viper Solar,USA0060920,2.0,Solar,Cypress Creek Renewables,U.S. Energy Information Administration,12.028958458073124,-78.9622,34.9349
28908,Virginia,USA0002018,26.2,Waste,City of Virginia - (MN),U.S. Energy Information Administration,78.2310228242547,-92.541,47.5224
28909,Virginia Beach,USA0056693,10.8,Waste,Industrial Power Generating Company LLC,U.S. Energy Information Administration,17.900721200378786,-76.2019,36.7858
28910,Virginia City Hybrid Energy Center,USA0056808,668.0,Coal,Virginia Electric & Power Co,U.S. Energy Information Administration,22.584207149702717,-82.3381,36.9164
28911,Virginia Tech Power Plant,USA0056785,6.3,Gas,Virginia Polytechnic Inst and State Unv,U.S. Energy Information Administration,9.06810554642059,-80.4211,37.2319
28912,Vischer Ferry,USA0002686,11.6,Hydro,New York Power Authority,U.S. Energy Information Administration,0.0817858255515459,-73.8427,42.8075
28913,Vista Grande HS at Casa Grande,USA0058517,1.8,Solar,Constellation Solar Holding  LLC,U.S. Energy Information Administration,20.534742683822508,-111.7131,32.8914
28914,Vitro Architectural Glass (PA),USA0058051,5.0,Oil,Vitro Architectural Glass (PA),U.S. Energy Information Administration,28.18963307569918,-77.1644,40.1264
28915,Vitro Flat Glass LLC,USA0058053,3.3,Oil,Vitro Flat Glass LLC,U.S. Energy Information Administration,20.746007602673483,-119.72,36.69
28916,Vogtle,USA0000649,2320.0,Nuclear,Georgia Power Co,U.S. Energy Information Administration,1.2832144146859723,-81.7625,33.1427
28917,Volkswagen Solar System,USA0058401,9.6,Solar,SR Enterprise South LLC,U.S. Energy Information Administration,6.085091067046616,-85.1269,35.0975
28918,Volta 1,USA0000290,8.5,Hydro,Pacific Gas & Electric Co.,U.S. Energy Information Administration,26.479800518162,-121.8671,40.4591
28919,Volta 2,USA0000180,1.0,Hydro,Pacific Gas & Electric Co.,U.S. Energy Information Administration,26.78872676436281,-121.8621,40.4519
28920,Vuelta Solar,USA0061245,5.5,Solar,NuGen Capital Management,U.S. Energy Information Administration,46.069016686812105,-72.0375,42.2376
28921,Vulcan-BN Geothermal Power Company,USA0050210,39.6,Geothermal,CalEnergy Operating Corporation,U.S. Energy Information Administration,3.000236065653679,-115.6167,33.1633
28922,Vulcraft Solar,USA0060365,1.6,Solar,Soltage LLC,U.S. Energy Information Administration,10.183704435450938,-76.6193,42.0059
28923,W A Parish,USA0003470,4008.4,Coal,NRG Texas Power LLC,U.S. Energy Information Administration,4.553187852969714,-95.6311,29.4828
28924,W E Warne,USA0006196,74.2,Hydro,California Dept. of Water Resources,U.S. Energy Information Administration,67.90948676362359,-118.7881,34.6853
28925,W H Hill,USA0000772,37.1,Oil,Hawaii Electric Light Co Inc,U.S. Energy Information Administration,9.722830856739115,-155.0607,19.7041
28926,W H Weatherspoon,USA0002716,163.0,Oil,Duke Energy Progress - (NC),U.S. Energy Information Administration,24.80625144336906,-78.9755,34.5875
28927,W H Zimmer,USA0006019,1425.6,Coal,Dynegy W H Zimmer,U.S. Energy Information Administration,0.0244512646450966,-84.2289,38.8675
28928,W K Sanders,USA0000678,1.8,Hydro,Village of Morrisville - (VT),U.S. Energy Information Administration,52.57212881813638,-72.5309,44.6253
28929,W Plant,USA0059458,4.6,Gas,Qualcomm Incorporated,U.S. Energy Information Administration,4.750126849120179,-117.1956,32.9033
28930,W R Gianelli,USA0000448,424.0,Hydro,California Dept. of Water Resources,U.S. Energy Information Administration,30.9460877384532,-121.0772,37.0692
28931,W S Lee,USA0003264,271.2,Gas,Duke Energy Carolinas  LLC,U.S. Energy Information Administration,31.742386324083203,-82.435,34.6022
28932,W.A. Parish Carbon Capture Plant,USA0058378,102.7,Gas,Petra Nova Power I LLC,U.S. Energy Information Administration,5.270551937413088,-95.6342,29.4753
28933,WC Landfill Energy LLC,USA0057848,1.0,Solar,WC Landfill Energy LLC,U.S. Energy Information Administration,5.114910189903543,-75.0158,40.831
28934,WCROC Wind Farm,USA0057823,1.7,Wind,University of Minnesota WCROC,U.S. Energy Information Administration,48.73630503632264,-95.8769,45.5897
28935,WEA Texas Bayonne,USA0057383,1.5,Solar,Public Service Elec & Gas Co,U.S. Energy Information Administration,3.7931908470057385,-74.0919,40.6772
28936,WED Coventry 1,USA0059301,1.5,Wind,WED Coventry One  LLC,U.S. Energy Information Administration,34.03101372924599,-71.7075,41.6758
28937,WED Coventry 2,USA0059302,4.5,Wind,WED Coventry Two  LLC,U.S. Energy Information Administration,33.63646883895753,-71.7058,41.6725
28938,WED Coventry 3,USA0059305,1.5,Wind,WED Coventry Three  LLC,U.S. Energy Information Administration,36.47644563866092,-71.7208,41.6956
28939,WED Coventry 4,USA0059306,1.5,Wind,WED Coventry Four  LLC,U.S. Energy Information Administration,35.68545012669369,-71.7283,41.6864
28940,WED Coventry 5,USA0059313,1.5,Wind,WED Coventry Five  LLC,U.S. Energy Information Administration,32.11854774327595,-71.6997,41.6597
28941,WED Coventry 6,USA0059314,4.5,Wind,WED Coventry Six  LLC,U.S. Energy Information Administration,33.40117561356569,-71.7083,41.6697
28942,WED Kingstown Solar I  LLC - West,USA0061612,1.5,Solar,WED Kingstown Solar I  LLC,U.S. Energy Information Administration,12.327667271538342,-71.6246,41.4918
28943,WED Kingstown Solar I - East Array,USA0061622,3.0,Solar,WED Kingstown Solar I  LLC,U.S. Energy Information Administration,12.242233020568058,-71.6191,41.4923
28944,WED NK Green,USA0059295,1.5,Wind,WED NK Green LLC,U.S. Energy Information Administration,18.44496753171361,-71.4867,41.5817
28945,WED Portsmouth One  LLC,USA0061002,1.5,Wind,WED Portsmouth One  LLC,U.S. Energy Information Administration,15.748098559803347,-71.2493,41.612
28946,WED Stilson Solar,USA0061613,2.0,Solar,WED Stilson Solar  LLC,U.S. Energy Information Administration,16.768719133163025,-71.6865,41.5188
